id_transaccion,fecha,hora,cajero,cedula_cliente,nombre_cliente,subtotal,iva,total,metodo_pago,estado,valida_hasta
TX-0001,2025-05-11,17:49:53,Cajero_01,0101262382,Diana Herrera Vargas,3.9,0.47,4.37,Transferencia,COMPLETADA,2026-05-11
TX-0002,2025-05-12,10:23:22,Cajero_01,1017351517,Veronica Torres Morales,12.8,1.54,14.34,QR,COMPLETADA,2026-05-12
TX-0003,2025-05-12,13:01:27,Cajero_01,0430649691,Andres Perez Pacheco,8.9,1.07,9.97,Efectivo,COMPLETADA,2026-05-12
TX-0004,2025-05-13,13:24:20,Cajero_01,1548468772,Marco Guerrero Rivera,12.3,1.48,13.78,Efectivo,COMPLETADA,2026-05-13
TX-0005,2025-05-14,08:27:24,Cajero_01,0209800873,Luis Miguel Reyes Rivera,16.3,1.96,18.26,Tarjeta,COMPLETADA,2026-05-14
TX-0006,2025-05-14,10:41:35,Cajero_01,1938002392,Raul Garcia Carrillo,24.0,2.88,26.88,Efectivo,COMPLETADA,2026-05-14
TX-0007,2025-05-15,08:52:06,Cajero_01,0430649691,Andres Perez Pacheco,5.3,0.64,5.94,Efectivo,COMPLETADA,2026-05-15
TX-0008,2025-05-15,20:08:30,Cajero_01,0742219824,Andres Vega Ortega,16.5,1.98,18.48,Tarjeta,COMPLETADA,2026-05-15
TX-0009,2025-05-16,12:51:35,Cajero_01,1527096887,Manuel Pacheco Pacheco,4.6,0.55,5.15,Efectivo,COMPLETADA,2026-05-16
TX-0010,2025-05-16,14:42:02,Cajero_01,0925363836,Diana Flores Torres,7.9,0.95,8.85,QR,COMPLETADA,2026-05-16
TX-0011,2025-05-18,15:12:41,Cajero_01,0124813613,Sebastian Vargas Delgado,8.8,1.06,9.86,Efectivo,COMPLETADA,2026-05-18
TX-0012,2025-05-18,20:59:24,Cajero_01,1552566765,Fernanda Morales Suarez,12.0,1.44,13.44,Efectivo,COMPLETADA,2026-05-18
TX-0013,2025-05-19,12:24:11,Cajero_01,1950454696,Manuel Jimenez Romero,11.65,1.4,13.05,QR,COMPLETADA,2026-05-19
TX-0014,2025-05-21,08:36:05,Cajero_01,1938002392,Raul Garcia Carrillo,4.4,0.53,4.93,QR,COMPLETADA,2026-05-21
TX-0015,2025-05-21,08:38:37,Cajero_01,1100156287,Monica Flores Mendoza,3.4,0.41,3.81,Transferencia,COMPLETADA,2026-05-21
TX-0016,2025-05-21,10:40:45,Cajero_01,2252919694,Fernanda Vega Jimenez,17.3,2.08,19.38,Efectivo,COMPLETADA,2026-05-21
TX-0017,2025-05-25,12:34:38,Cajero_01,1815440561,Andres Aguirre Suarez,11.6,1.39,12.99,QR,COMPLETADA,2026-05-25
TX-0018,2025-05-26,08:27:03,Cajero_01,0311149597,Gabriela Rodriguez Castro,7.2,0.86,8.06,Efectivo,COMPLETADA,2026-05-26
TX-0019,2025-05-30,10:02:12,Cajero_01,1800848731,Elena Carrillo Carrillo,4.25,0.51,4.76,Efectivo,COMPLETADA,2026-05-30
TX-0020,2025-05-30,12:57:09,Cajero_01,1800848731,Elena Carrillo Carrillo,12.1,1.45,13.55,Efectivo,COMPLETADA,2026-05-30
TX-0021,2025-06-01,12:35:00,Cajero_01,0223524499,Daniela Morales Medina,7.4,0.89,8.29,Transferencia,COMPLETADA,2026-06-01
TX-0022,2025-06-01,18:13:42,Cajero_01,0755229731,Manuel Vargas Cabrera,5.4,0.65,6.05,Efectivo,COMPLETADA,2026-06-01
TX-0023,2025-06-02,16:58:58,Cajero_01,2120212267,Daniel Martinez Castro,11.0,1.32,12.32,Tarjeta,COMPLETADA,2026-06-02
TX-0024,2025-06-04,14:11:02,Cajero_01,2122710895,Gabriel Cabrera Gonzalez,13.65,1.64,15.29,Efectivo,COMPLETADA,2026-06-04
TX-0025,2025-06-07,08:35:31,Cajero_01,0432237058,Ana Lucia Vargas Torres,9.5,1.14,10.64,Transferencia,COMPLETADA,2026-06-07
TX-0026,2025-06-07,13:51:40,Cajero_01,1832592974,Roberto Morales Cabrera,4.6,0.55,5.15,Efectivo,COMPLETADA,2026-06-07
TX-0027,2025-06-07,18:12:37,Cajero_01,0604364698,Patricia Carrillo Mendoza,13.4,1.61,15.01,QR,COMPLETADA,2026-06-07
TX-0028,2025-06-07,20:06:13,Cajero_01,0327563202,Camila Carrillo Torres,13.4,1.61,15.01,QR,COMPLETADA,2026-06-07
TX-0029,2025-06-08,09:40:30,Cajero_01,0409281552,Veronica Gonzalez Ramirez,7.0,0.84,7.84,Transferencia,COMPLETADA,2026-06-08
TX-0030,2025-06-09,17:12:17,Cajero_01,0315207974,Monica Guerrero Rivera,1.5,0.18,1.68,Efectivo,COMPLETADA,2026-06-09
TX-0031,2025-06-10,19:12:08,Cajero_01,1323679591,Mateo Medina Romero,15.9,1.91,17.81,Efectivo,COMPLETADA,2026-06-10
